X,Y,walkability
9454629.14405693,7651675.97043839,0
9454629.14405693,7651670.97043839,0
9454629.14405693,7651665.97043839,0
9454629.14405693,7651660.97043839,0
9454629.14405693,7651655.97043839,0
9454629.14405693,7651650.97043839,0
9454629.14405693,7651645.97043839,0
9454629.14405693,7651640.97043839,0
9454629.14405693,7651635.97043839,0
9454629.14405693,7651630.97043839,0
9454629.14405693,7651625.97043839,0
9454629.14405693,7651620.97043839,0
9454629.14405693,7651615.97043839,0
9454629.14405693,7651610.97043839,0
9454629.14405693,7651605.97043839,0
9454629.14405693,7651600.97043839,0
9454629.14405693,7651595.97043839,0
9454629.14405693,7651590.97043839,0
9454629.14405693,7651585.97043839,0
9454629.14405693,7651580.97043839,0
9454629.14405693,7651575.97043839,0
9454629.14405693,7651570.97043839,0
9454629.14405693,7651565.97043839,0
9454629.14405693,7651560.97043839,0
9454629.14405693,7651555.97043839,0
9454629.14405693,7651550.97043839,0
9454629.14405693,7651545.97043839,0
9454629.14405693,7651540.97043839,0
9454629.14405693,7651535.97043839,0
9454629.14405693,7651530.97043839,0
9454629.14405693,7651525.97043839,0
9454629.14405693,7651520.97043839,0
9454629.14405693,7651515.97043839,0
9454629.14405693,7651510.97043839,0
9454629.14405693,7651505.97043839,0
9454629.14405693,7651500.97043839,0
9454629.14405693,7651495.97043839,0
9454629.14405693,7651490.97043839,0
9454629.14405693,7651485.97043839,0
9454629.14405693,7651480.97043839,0
9454629.14405693,7651475.97043839,0
9454629.14405693,7651470.97043839,0
9454629.14405693,7651465.97043839,0
9454629.14405693,7651460.97043839,0
9454629.14405693,7651455.97043839,0
9454629.14405693,7651450.97043839,0
9454629.14405693,7651445.97043839,0
9454629.14405693,7651440.97043839,0
9454629.14405693,7651435.97043839,0
9454629.14405693,7651430.97043839,0
9454629.14405693,7651425.97043839,0
9454629.14405693,7651420.97043839,0
9454629.14405693,7651415.97043839,0
9454629.14405693,7651410.97043839,0
9454629.14405693,7651405.97043839,0
9454629.14405693,7651400.97043839,0
9454629.14405693,7651395.97043839,0
9454629.14405693,7651390.97043839,0
9454629.14405693,7651385.97043839,0
9454629.14405693,7651380.97043839,0
9454629.14405693,7651375.97043839,0
9454629.14405693,7651370.97043839,0
9454629.14405693,7651365.97043839,0
9454629.14405693,7651360.97043839,0
9454629.14405693,7651355.97043839,0
9454629.14405693,7651350.97043839,0
9454629.14405693,7651345.97043839,0
9454629.14405693,7651340.97043839,0
9454629.14405693,7651335.97043839,0
9454629.14405693,7651330.97043839,0
9454629.14405693,7651325.97043839,0
9454629.14405693,7651320.97043839,0
9454629.14405693,7651315.97043839,0
9454629.14405693,7651310.97043839,0
9454629.14405693,7651305.97043839,0
9454629.14405693,7651300.97043839,0
9454629.14405693,7651295.97043839,0
9454629.14405693,7651290.97043839,0
9454629.14405693,7651285.97043839,0
9454629.14405693,7651280.97043839,0
9454629.14405693,7651275.97043839,0
9454629.14405693,7651270.97043839,0
9454629.14405693,7651265.97043839,0
9454629.14405693,7651260.97043839,0
9454629.14405693,7651255.97043839,0
9454629.14405693,7651250.97043839,0
9454629.14405693,7651245.97043839,0
9454629.14405693,7651240.97043839,0
9454629.14405693,7651235.97043839,0
9454629.14405693,7651230.97043839,0
9454629.14405693,7651225.97043839,0
9454629.14405693,7651220.97043839,0
9454629.14405693,7651215.97043839,0
9454629.14405693,7651210.97043839,0
9454629.14405693,7651205.97043839,0
9454629.14405693,7651200.97043839,0
9454629.14405693,7651195.97043839,0
9454629.14405693,7651190.97043839,0
9454629.14405693,7651185.97043839,0
9454629.14405693,7651180.97043839,0
9454629.14405693,7651175.97043839,0
9454629.14405693,7651170.97043839,0
9454629.14405693,7651165.97043839,0
9454629.14405693,7651160.97043839,0
9454629.14405693,7651155.97043839,0
9454629.14405693,7651150.97043839,0
9454629.14405693,7651145.97043839,0
9454629.14405693,7651140.97043839,0
9454629.14405693,7651135.97043839,0
9454629.14405693,7651130.97043839,0
9454629.14405693,7651125.97043839,0
9454629.14405693,7651120.97043839,0
9454629.14405693,7651115.97043839,0
9454629.14405693,7651110.97043839,0
9454629.14405693,7651105.97043839,0
9454629.14405693,7651100.97043839,0
9454629.14405693,7651095.97043839,0
